Indexer,interval.IntervalIndexer,interval.IntervalIndexer,interval.IntervalIndexer
Parts,"0,1","0,2","1,2"
,,,
0.0,P4,P8,P5
24.0,P1,P5,P5
48.0,-P4,P5,P8
72.0,P4,P8,P5
96.0,P4,P8,P5
120.0,P4,P8,P5
144.0,-P4,M3,M6
168.0,-P4,P5,P8
192.0,-P4,P5,P8
216.0,-P4,M3,M6
240.0,-P4,P5,P8
264.0,P5,P5,P1
288.0,m3,P5,M3
312.0,-m3,M3,P5
336.0,P4,P8,P5
360.0,-m3,M3,P5
384.0,-P4,P5,P8
408.0,P4,P8,P5
432.0,P4,P8,P5
456.0,P4,P8,P5
480.0,P8,P8,P1
504.0,P4,M6,M3
528.0,P4,P8,P5
552.0,P1,P5,P5
576.0,P4,P8,P5
600.0,P4,M6,M3
624.0,P4,M6,M3
648.0,Rest,Rest,P5
672.0,P4,P8,P5
696.0,P5,M3,M6
720.0,P5,P5,P8
744.0,P4,P8,P5
768.0,-P4,P5,P8
792.0,-P4,P5,P8
816.0,-P4,P5,P8
840.0,-P4,M3,M6
864.0,P4,P8,P5
888.0,P4,P8,P5
912.0,d5,m2,P5
936.0,Rest,Rest,P8
960.0,-P4,P5,P8
984.0,-P5,P8,P5
1008.0,-P5,P8,P5
1032.0,-P4,P5,P8
1056.0,P1,P5,P5
1080.0,-m3,M6,P8
1104.0,-P4,M3,M6
1128.0,-P4,P5,P8
1152.0,-P4,P5,P8
1176.0,-P5,M6,M3
1200.0,-P5,P8,P5
1224.0,-P4,P5,P8
1248.0,-P4,P5,P8
1272.0,P4,P8,P5
1296.0,P1,P8,P8
1320.0,-P4,M3,M6
1344.0,-P4,P5,P8
1368.0,P1,M6,M6
1392.0,m3,P8,M6
1416.0,P5,P5,P8
